Property,Range,numAllStatements,numRVEStatements
http://dbpedia.org/ontology/compiler,http://dbpedia.org/ontology/Person,295.0,66.0
http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/Language,108092.0,28204.0
http://dbpedia.org/ontology/creativeDirector,http://dbpedia.org/ontology/Person,371.0,103.0
http://dbpedia.org/ontology/nextMission,http://dbpedia.org/ontology/SpaceMission,0.0,0.0
http://dbpedia.org/ontology/supply,http://dbpedia.org/ontology/Place,0.0,0.0
http://dbpedia.org/ontology/musicBand,http://dbpedia.org/ontology/Band,0.0,0.0
http://dbpedia.org/ontology/closeTo,http://dbpedia.org/ontology/Place,0.0,0.0
http://dbpedia.org/ontology/gameArtist,http://dbpedia.org/ontology/Person,805.0,163.0
http://dbpedia.org/ontology/routeEnd,http://dbpedia.org/ontology/RouteOfTransportation,22006.0,20602.0
http://dbpedia.org/ontology/contest,http://dbpedia.org/ontology/Contest,0.0,0.0
http://dbpedia.org/ontology/openingTheme,http://dbpedia.org/ontology/Work,4655.0,3921.0
http://dbpedia.org/ontology/alpsSupergroup,http://dbpedia.org/ontology/MountainRange,0.0,0.0
http://dbpedia.org/ontology/boxerStyle,http://dbpedia.org/ontology/BoxingStyle,0.0,0.0
http://dbpedia.org/ontology/teamCoached,http://dbpedia.org/ontology/SportsTeam,0.0,0.0
http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/Country,130523.0,37868.0
http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/Place,406619.0,56257.0
http://dbpedia.org/ontology/amateurTeam,http://dbpedia.org/ontology/SportsTeam,0.0,0.0
http://dbpedia.org/ontology/leftChild,http://dbpedia.org/ontology/Island,2.0,2.0
http://dbpedia.org/ontology/prefecture,http://dbpedia.org/ontology/PopulatedPlace,0.0,0.0
http://dbpedia.org/ontology/sales,http://dbpedia.org/ontology/Sales,1983.0,0.0
http://dbpedia.org/ontology/targetAirport,http://dbpedia.org/ontology/Airport,2864.0,1048.0
http://dbpedia.org/ontology/administrativeDistrict,http://dbpedia.org/ontology/PopulatedPlace,209.0,56.0
http://dbpedia.org/ontology/branchTo,http://dbpedia.org/ontology/AnatomicalStructure,393.0,92.0
http://dbpedia.org/ontology/chiefPlace,http://dbpedia.org/ontology/PopulatedPlace,0.0,0.0
http://dbpedia.org/ontology/translator,http://dbpedia.org/ontology/Person,1153.0,295.0
http://dbpedia.org/ontology/ncaaTeam,http://dbpedia.org/ontology/SportsTeam,0.0,0.0
http://dbpedia.org/ontology/aircraftAttack,http://dbpedia.org/ontology/MeanOfTransportation,775.0,234.0
http://dbpedia.org/ontology/secondDriver,http://dbpedia.org/ontology/Person,1341.0,58.0
http://dbpedia.org/ontology/alpsMainPart,http://dbpedia.org/ontology/MountainRange,0.0,0.0
http://dbpedia.org/ontology/incumbent,http://dbpedia.org/ontology/Person,96.0,12.0
http://dbpedia.org/ontology/diocese,http://dbpedia.org/ontology/Diocese,0.0,0.0
http://dbpedia.org/ontology/openingFilm,http://dbpedia.org/ontology/Film,183.0,9.0
http://dbpedia.org/ontology/narrator,http://dbpedia.org/ontology/Person,5203.0,514.0
http://dbpedia.org/ontology/performer,http://dbpedia.org/ontology/Person,0.0,0.0
http://dbpedia.org/ontology/firstAscentPerson,http://dbpedia.org/ontology/Person,894.0,259.0
http://dbpedia.org/ontology/afiAward,http://dbpedia.org/ontology/Award,0.0,0.0
http://dbpedia.org/ontology/setDesigner,http://dbpedia.org/ontology/Person,0.0,0.0
http://dbpedia.org/ontology/goldenGlobeAward,http://dbpedia.org/ontology/Award,0.0,0.0
http://dbpedia.org/ontology/religiousOrder,http://dbpedia.org/ontology/ClericalOrder,0.0,0.0
http://dbpedia.org/ontology/academyAward,http://dbpedia.org/ontology/Award,0.0,0.0
http://dbpedia.org/ontology/outflow,http://dbpedia.org/ontology/River,3582.0,1481.0
http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/ontology/PopulatedPlace,16678.0,3426.0
http://dbpedia.org/ontology/collaboration,http://dbpedia.org/ontology/Person,0.0,0.0
http://dbpedia.org/ontology/commandant,http://dbpedia.org/ontology/Person,0.0,0.0
http://dbpedia.org/ontology/runningMate,http://dbpedia.org/ontology/Person,17.0,1.0
http://dbpedia.org/ontology/subsequentInfrastructure,http://dbpedia.org/ontology/Infrastructure,14.0,2.0
http://dbpedia.org/ontology/delegateMayor,http://dbpedia.org/ontology/Person,0.0,0.0
http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/ontology/City,13004.0,8863.0
http://dbpedia.org/ontology/owningCompany,http://dbpedia.org/ontology/Company,13345.0,5484.0
http://dbpedia.org/ontology/playerInTeam,http://dbpedia.org/ontology/Person,0.0,0.0
http://dbpedia.org/ontology/museum,http://dbpedia.org/ontology/Museum,3466.0,1361.0
http://dbpedia.org/ontology/politicalLeader,http://dbpedia.org/ontology/PersonFunction,0.0,0.0
http://dbpedia.org/ontology/solventWithMediocreSolubility,http://dbpedia.org/ontology/ChemicalSubstance,0.0,0.0
http://dbpedia.org/ontology/owner,http://dbpedia.org/ontology/Agent,60352.0,22178.0
http://dbpedia.org/ontology/countryWithFirstSpaceflight,http://dbpedia.org/ontology/Country,10.0,0.0
